"region","inkomstslag","kön","ålder","inkomstklass","2002","2006","2010"
"0114 Upplands Väsby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",247.7,269.0,298.1
"0114 Upplands Väsby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.6,23.7,26.8
"0115 Vallentuna","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",256.5,285.6,324.4
"0115 Vallentuna","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,22.8,27.8
"0117 Österåker","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",261.9,291.8,328.2
"0117 Österåker","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.7,23.8,26.3
"0120 Värmdö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",255.4,291.3,328.5
"0120 Värmdö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.5,23.0,27.1
"0123 Järfälla","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",259.0,283.4,308.9
"0123 Järfälla","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.9,23.5,24.9
"0125 Ekerö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",276.3,312.3,354.6
"0125 Ekerö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.2,22.8,26.7
"0126 Huddinge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",246.7,270.8,295.8
"0126 Huddinge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.5,24.1,26.3
"0127 Botkyrka","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.9,228.8,251.1
"0127 Botkyrka","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.4,25.7,25.7
"0128 Salem","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",258.9,286.6,323.6
"0128 Salem","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.8,22.8,28.1
"0136 Haninge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",231.0,251.7,274.9
"0136 Haninge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.9,25.3,28.5
"0138 Tyresö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",260.0,289.7,325.5
"0138 Tyresö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.6,23.1,26.5
"0139 Upplands-Bro","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",237.7,259.7,285.0
"0139 Upplands-Bro","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.5,23.7,28.6
"0140 Nykvarn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",253.3,288.3,325.4
"0140 Nykvarn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.7,28.0,29.4
"0160 Täby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",325.5,366.0,414.2
"0160 Täby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.2,21.1,25.2
"0162 Danderyd","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",425.3,483.3,549.9
"0162 Danderyd","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.8,17.4,20.1
"0163 Sollentuna","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",295.6,329.0,370.4
"0163 Sollentuna","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.2,22.4,25.1
"0180 Stockholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",265.2,291.7,324.2
"0180 Stockholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.9,21.6,24.0
"0181 Södertälje","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",222.2,247.0,262.3
"0181 Södertälje","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.7,27.1,27.3
"0182 Nacka","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",292.2,331.6,372.5
"0182 Nacka","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.0,22.1,24.0
"0183 Sundbyberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",253.1,269.1,295.8
"0183 Sundbyberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,22.1,24.1
"0184 Solna","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",255.0,282.8,319.1
"0184 Solna","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.8,21.8,24.5
"0186 Lidingö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",346.1,398.6,443.3
"0186 Lidingö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.0,20.2,24.4
"0187 Vaxholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",273.4,316.3,362.4
"0187 Vaxholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.2,21.9,25.5
"0188 Norrtälje","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",215.3,238.0,263.1
"0188 Norrtälje","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.6,24.1,28.9
"0191 Sigtuna","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",243.0,264.9,288.6
"0191 Sigtuna","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.2,24.4,28.1
"0192 Nynäshamn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",229.2,250.4,274.1
"0192 Nynäshamn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.5,24.5,25.4
"0305 Håbo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",251.5,276.5,305.9
"0305 Håbo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.1,24.6,26.7
"0319 Älvkarleby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.4,235.3,265.9
"0319 Älvkarleby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.2,22.9,27.1
"0330 Knivsta","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",..,293.8,328.5
"0330 Knivsta","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",..,19.7,24.2
"0331 Heby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",196.3,220.3,243.3
