"region","ålder","2002","2006","2010"
"0114 Upplands Väsby","totalt ålder",37438,37876,39108
"0115 Vallentuna","totalt ålder",25885,27743,29969
"0117 Österåker","totalt ålder",35489,37713,39501
"0120 Värmdö","totalt ålder",32520,35616,38195
"0123 Järfälla","totalt ålder",61286,62146,66130
"0125 Ekerö","totalt ålder",22871,24267,25343
"0126 Huddinge","totalt ålder",86341,89899,97086
"0127 Botkyrka","totalt ålder",75018,77432,82358
"0128 Salem","totalt ålder",13837,14655,15422
"0136 Haninge","totalt ålder",70846,72838,76919
"0138 Tyresö","totalt ålder",39648,41415,42882
"0139 Upplands-Bro","totalt ålder",21100,21557,23600
"0140 Nykvarn","totalt ålder",8144,8562,9305
"0160 Täby","totalt ålder",60284,61046,63739
"0162 Danderyd","totalt ålder",29906,30503,31317
"0163 Sollentuna","totalt ålder",58528,60441,64424
"0180 Stockholm","totalt ålder",758754,782344,845777
"0181 Södertälje","totalt ålder",79609,81439,86069
"0182 Nacka","totalt ålder",76679,82196,89911
"0183 Sundbyberg","totalt ålder",33828,34428,38460
"0184 Solna","totalt ålder",57738,61738,67957
"0186 Lidingö","totalt ålder",41197,42262,43795
"0187 Vaxholm","totalt ålder",9612,10406,11115
"0188 Norrtälje","totalt ålder",53696,54783,56076
"0191 Sigtuna","totalt ålder",35703,36931,39701
"0192 Nynäshamn","totalt ålder",24486,24977,26033
"0305 Håbo","totalt ålder",17803,18646,19625
"0319 Älvkarleby","totalt ålder",8959,9084,9107
"0330 Knivsta","totalt ålder",0,13519,14705
"0331 Heby","totalt ålder",13710,13556,13396
"0360 Tierp","totalt ålder",20097,19926,20095
"0380 Uppsala","totalt ålder",192496,185218,197646
"0381 Enköping","totalt ålder",37569,38441,39666
"0382 Östhammar","totalt ålder",21811,21444,21383
"0428 Vingåker","totalt ålder",9145,9234,8912
"0461 Gnesta","totalt ålder",9814,9941,10350
"0480 Nyköping","totalt ålder",49299,50141,51562
"0481 Oxelösund","totalt ålder",11134,11095,11169
"0482 Flen","totalt ålder",16445,16263,16047
"0483 Katrineholm","totalt ålder",32350,32050,32410
"0484 Eskilstuna","totalt ålder",89962,92232,96122
"0486 Strängnäs","totalt ålder",29980,31073,32414
"0488 Trosa","totalt ålder",10476,10956,11469
"0509 Ödeshög","totalt ålder",5586,5446,5289
"0512 Ydre","totalt ålder",4011,3825,3675
"0513 Kinda","totalt ålder",10033,9893,9788
"0560 Boxholm","totalt ålder",5269,5244,5242
"0561 Åtvidaberg","totalt ålder",11890,11770,11500
"0562 Finspång","totalt ålder",21230,20823,20784
"0563 Valdemarsvik","totalt ålder",8246,8039,7751
"0580 Linköping","totalt ålder",135074,138606,146422
"0581 Norrköping","totalt ålder",123273,125356,129985
"0582 Söderköping","totalt ålder",14051,14053,14040
"0583 Motala","totalt ålder",42072,41931,41996
"0584 Vadstena","totalt ålder",7615,7545,7415
"0586 Mjölby","totalt ålder",25189,25305,25841
"0604 Aneby","totalt ålder",6636,6568,6376
"0617 Gnosjö","totalt ålder",10012,9614,9556
"0642 Mullsjö","totalt ålder",7119,7076,7027
